dataset,nodes,edges,cap,seeds,auc_mean,auc_95ci
email-Eu-core,986,16064,500,10,0.8737938,0.005298112652136677
email-Eu-core,986,16064,1000,10,0.86667115,0.0038832379879912343
email-Eu-core,986,16064,2000,10,0.869697375,0.002841747733847076
email-Eu-core,986,16064,5000,10,0.870706272,0.0014659614076010523
email-Eu-core,986,16064,10000,10,0.8706461400000001,0.0014016931971324391
ego-Facebook,4039,88234,500,10,0.8420502000000001,0.0050664154693582895
ego-Facebook,4039,88234,1000,10,0.839389,0.005682868914893056
ego-Facebook,4039,88234,2000,10,0.8393274749999999,0.004960585471509545
ego-Facebook,4039,88234,5000,10,0.8392709440000001,0.0012571729626277301
ego-Facebook,4039,88234,10000,10,0.8382327065,0.0006795340109679042
ca-GrQc,5241,14484,500,10,0.8296756000000001,0.005599619336519856
ca-GrQc,5241,14484,1000,10,0.8250635000000001,0.0034963582539080844
ca-GrQc,5241,14484,2000,10,0.8241895749999999,0.003908125071316677
ca-GrQc,5241,14484,5000,10,0.8265182,0.0016572888716509617
ca-GrQc,5241,14484,10000,10,0.826348386,0.0010864329954011426
