dataset,mechanism,auc,tpr_fpr_1e2,tpr_fpr_1e3,precision_at_100
email-Eu-core,degree-only,0.8754968,0.2296,0.0666,0.98
email-Eu-core,calibrated-swap,0.958990625,0.7574,0.1327,1.0
email-Eu-core,full-mix-degree-null,0.868487075,0.1256,0.0466,0.97
email-Eu-core,degree-only,0.87223939,0.2257,0.0587,1.0
email-Eu-core,calibrated-swap,0.958050195,0.7636,0.1583,1.0
email-Eu-core,full-mix-degree-null,0.86665357,0.1206,0.0437,0.99
email-Eu-core,degree-only,0.875926995,0.2175,0.0676,0.98
email-Eu-core,calibrated-swap,0.95843938,0.7606,0.2289,1.0
email-Eu-core,full-mix-degree-null,0.867699905,0.1216,0.0531,0.99
ego-Facebook,degree-only,0.83921871,0.2754,0.0176,0.94
ego-Facebook,calibrated-swap,0.951549195,0.7874,0.2393,0.96
ego-Facebook,full-mix-degree-null,0.835880265,0.0743,0.0364,0.96
ego-Facebook,degree-only,0.838986145,0.2971,0.0628,0.99
ego-Facebook,calibrated-swap,0.952717215,0.7996,0.2561,0.99
ego-Facebook,full-mix-degree-null,0.834704855,0.0621,0.0291,0.98
ego-Facebook,degree-only,0.837127725,0.2787,0.0789,1.0
ego-Facebook,calibrated-swap,0.95409909,0.7994,0.4201,1.0
ego-Facebook,full-mix-degree-null,0.834065035,0.1442,0.0422,0.99
ca-GrQc,degree-only,0.824941715,0.2831,0.1084,1.0
ca-GrQc,calibrated-swap,0.950549085,0.8032,0.7533,1.0
ca-GrQc,full-mix-degree-null,0.82465798,0.2825,0.0155,1.0
ca-GrQc,degree-only,0.82298309,0.2852,0.1338,1.0
ca-GrQc,calibrated-swap,0.952009415,0.8059,0.7601,1.0
ca-GrQc,full-mix-degree-null,0.822493525,0.2795,0.0135,0.99
ca-GrQc,degree-only,0.82539643,0.2894,0.1813,1.0
ca-GrQc,calibrated-swap,0.951146035,0.8037,0.7746,1.0
ca-GrQc,full-mix-degree-null,0.82479483,0.2887,0.0167,1.0
com-DBLP,degree-only,0.83419266,0.2268,0.0738,1.0
com-DBLP,calibrated-swap,0.95620824,0.797,0.7598,1.0
com-DBLP,full-mix-degree-null,0.83419766,0.227,0.0742,1.0
com-DBLP,degree-only,0.83630242,0.2378,0.0646,1.0
com-DBLP,calibrated-swap,0.95487054,0.7866,0.7424,1.0
com-DBLP,full-mix-degree-null,0.83630246,0.2378,0.0646,1.0
com-DBLP,degree-only,0.841118,0.2626,0.1136,1.0
com-DBLP,calibrated-swap,0.95774258,0.802,0.7668,1.0
com-DBLP,full-mix-degree-null,0.841118,0.2626,0.1136,1.0
ogbl-collab,degree-only,0.84516722,0.2416,0.0826,1.0
ogbl-collab,calibrated-swap,0.95834062,0.7976,0.7566,1.0
ogbl-collab,full-mix-degree-null,0.84516722,0.2416,0.0826,1.0
ogbl-collab,degree-only,0.84166148,0.2478,0.0916,0.99
ogbl-collab,calibrated-swap,0.95743912,0.7952,0.7566,1.0
ogbl-collab,full-mix-degree-null,0.84166384,0.2478,0.092,0.99
ogbl-collab,degree-only,0.83981688,0.2762,0.1082,1.0
ogbl-collab,calibrated-swap,0.95702132,0.8134,0.7686,1.0
ogbl-collab,full-mix-degree-null,0.83981692,0.2762,0.1082,1.0
